Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
37.792988287345665,35.42338,10.263583736679085,Rob Cohen,91,The Boy Next Door,Barbara Curry,2015,4.7,33676,4.7,1.0,3.0,Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,USA,1
68.53954412710019,35.419397,15.165177865201876,Richard Benjamin,110,Mermaids,Patty Dann,1990,6.6,25428,6.6,7.3,5.6,Cher, Bob Hoskins, Winona Ryder, Michael Schoeffling,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
201.33204851230707,35.377836,10.574589287970015,Guy Hamilton,121,Live and Let Die,Tom Mankiewicz,1973,6.8,84999,6.8,6.6,5.5,Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"UK, USA",2
37.5655081505,34.1,13.268765697924595,Akiva Schaffer,102,The Watch,Jared Stern,2012,5.7,113757,5.7,1.7,3.6,Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,USA,1
58.65665135381938,35.348597,5.1579994653850285,Kevin Lima,78,A Goofy Movie,Jymn Magon,1995,6.8,39518,6.8,4.4,5.756892877173304,Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"USA, Australia, France, Canada",4
48.23318319298479,35.09619,18.91796304158596,Joel Coen,100,Intolerable Cruelty,Robert Ramsey,2003,6.3,83598,6.3,7.5,7.1,George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
38.87400843774534,35.287788,14.183332047112884,Tim Burton,87,Frankenweenie,Leonard Ripps,2012,7.0,86532,7.0,8.7,7.4,Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,USA,1
55.59824555618126,35.281794,5.944533096116532,Gregory Nava,127,Selena,Gregory Nava,1997,6.7,21117,6.7,6.7,6.7,Jennifer Lopez, Jackie Guerra, Constance Marie, Alex Meneses,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1
51.79575402183578,35.268275,7.0154542173385455,Brian Levant,90,The Flintstones in Viva Rock Vegas,William Hanna,2000,3.6,17973,3.6,2.5,2.7,Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
63.47226091380497,35.208854,17.794064520866087,Andrew Bergman,96,Honeymoon in Vegas,Andrew Bergman,1992,5.8,15592,5.8,6.1,5.756892877173304,James Caan, Nicolas Cage, Sarah Jessica Parker, Pat Morita,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,USA,1
53.401427020989125,35.18864,20.096608240178206,Sam Raimi,137,For Love of the Game,Michael Shaara,1999,6.6,28840,6.6,4.6,4.3,Kevin Costner, Kelly Preston, John C. Reilly, Jena Malone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,USA,1
49.34916241546349,35.100183,5.894779688673348,Kathryn Bigelow,138,K-19: The Widowmaker,Louis Nowra,2002,6.7,54414,6.7,6.0,5.8,Sam Spruell, Peter Stebbings, Christian Camargo, Roman Podhora,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"UK, Germany, Canada, USA",4
41.2121180764302,35.089551,2.5117993775663554,Dave Filoni,98,Star Wars: The Clone Wars,Henry Gilroy,2008,5.9,49155,5.9,1.8,3.5,Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
71.67589889663007,35.15096,12.024310598050382,Michael Ritchie,95,Fletch Lives,Gregory McDonald,1989,6.1,17481,6.1,3.7,4.0,Chevy Chase, Hal Holbrook, Julianne Phillips, R. Lee Ermey,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1
36.785282849583794,34.904885,6.502024546301413,Mike Flanagan,99,Ouija: Origin of Evil,Mike Flanagan,2016,6.1,44186,6.1,8.2,6.5,Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"USA, China, Japan",3
61.44291577375667,35.113743,7.636173698415657,Rob Cohen,120,Dragon: The Bruce Lee Story,Robert Clouse,1993,7.0,24645,7.0,7.5,5.756892877173304,Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
82.5261971859,35.1,10.977440368150155,Mark L. Lester,90,Commando,Jeph Loeb,1985,6.7,129360,6.7,7.0,5.1,Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
43.98165979432654,35.058863,13.066903626424534,John Whitesell,93,Deck the Halls,Matt Corman,2006,4.9,19229,4.9,0.6,2.8,Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
38.31730796347128,35.914825,12.267933233708662,Joe Wright,111,Pan,Jason Fuchs,2015,5.8,53924,5.8,2.7,3.6,Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK, Australia",3
