,Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,budget,Adjusted_Budgets,Director_Score,Writer_Score,Actor_Score
8741,0.09372294950632803,0.08893200000000001,3.96867048671476,Chad Hartigan,91,Morris from America,Chad Hartigan,2016,6.2,4437,6.2,8.8,7.5,Markees Christmas, Craig Robinson, Carla Juri, Patrick Güldenberg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Germany, USA",2,,,0.0409780731829909,0.02280963609958399,0.2802235197387682
8742,0.117650452986633,0.090869,4.073709531138191,Suparn Verma,143,Ek Khiladi Ek Haseena,Suparn Verma,2005,5.9,537,5.9,5.940134117214773,5.7568928771733034,Fardeen Khan, Koena Mitra, Kay Kay Menon, Rakhi Sawant,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,India,1,,,0.0353100983638542,0.02017335838583809,0.3105463820203932
8743,0.08947078993492699,0.083861,4.226685035498287,Cary Joji Fukunaga,137,Beasts of No Nation,Cary Joji Fukunaga,2015,7.8,60240,7.8,9.2,7.9,Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,,,0.14832790237547105,0.051798878562943115,0.15324065373764362
8744,0.07762525450678599,0.061877,6.5873048457280445,James Keach,95,Blind Dating,Christopher Theo,2006,6.1,10799,6.1,2.5,5.7568928771733034,Jennifer Alden, Chris Pine, Eddie Kaye Thomas, Steve Wellington,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,,,0.10259328757889027,0.018426292850297114,0.7768980645920209
8745,0.113556901800342,0.090519,6.8279263563486525,Asghar Farhadi,102,Fireworks Wednesday,Asghar Farhadi,2006,7.8,7374,7.8,10.0,8.4,Hamid Farokhnezhad, Hediyeh Tehrani, Taraneh Alidoosti, Pantea Bahram,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Iran,1,,,0.2737238945217743,0.14290787298820168,0.24883249485620354
8746,0.110121114444953,0.090287,4.496603058089158,Laura Dunn,88,The Unforeseen,Wendell Berry,2007,7.1,303,7.1,9.0,7.6,Curtis Peterson, Gary Bradley, Willie Nelson, Ann Richards,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.043152470899312984,0.023777251518839325,0.3593729701008294
8747,0.21160563381000005,0.09,2.391574135821409,Jerome Gary,90,Stripper,Charles Gaines,1985,5.6,189,5.6,5.940134117214773,5.7568928771733034,Janette Boyd, Sara Costa, Kimberly Holcomb, Loree Menton,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.03462511106060637,0.019842649529474128,0.11906166625157122
8748,0.078489290126964,0.073474,3.8070947818836167,Joshua Tickell,88,Pump,Johnny O'Hara,2014,7.7,599,7.7,7.5,5.6,Adhemar Altieri, Greg Anderson, Edwin Black, David Blume,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, China",2,2000000.0,2.136518772,0.08653902154736268,0.07529932066747146,0.1392510439360065
8749,0.060652806222203995,0.05588099999999999,13.288344852543323,Drake Doremus,98,Breathe In,Drake Doremus,2013,6.4,12830,6.4,5.5,6.0,Guy Pearce, Felicity Jones, Amy Ryan, Mackenzie Davis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,,,0.16432268204261513,0.045428596253522434,1.8844677237502467
8750,0.152955653723189,0.089611,16.040423893207702,Anthony Drazan,107,Imaginary Crimes,Sheila Ballantyne,1994,6.5,1199,6.5,6.0,5.7568928771733034,Harvey Keitel, Fairuza Balk, Kelly Lynch, Vincent D'Onofrio,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.12286495914433253,0.020847901142514183,2.7557609229391598
8751,0.092054047810392,0.086172,2.376467766312965,Katheryne Thomas,90,The Principle,Rick DeLano,2014,5.5,341,5.5,5.940134117214773,5.7568928771733034,Julian Barbour, Robert J. Bennett, John Byl, Bernard J. Carr,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,USA,1,,,0.034395092423152286,0.019730975120201475,0.11829974143532125
8752,0.11223339478635196,0.089464,5.431816793317098,Maria Maggenti,82,Puccini for Beginners,Maria Maggenti,2006,6.0,2166,6.0,5.1,5.4,Ken Barnett, Julianne Nicholson, Brian Letscher, Elizabeth Reaser,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,,,0.03416764273353458,0.04309688107602664,0.502747335106231
8753,0.10544386438168196,0.089442,4.0061666695417815,Dan Eckman,97,Mystery Team,D.C. Pierson,2009,6.8,8240,6.8,5.3,4.2,Donald Glover, D.C. Pierson, Dominic Dierkes, Aubrey Plaza,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1,,,0.034857675329566545,0.01995524037689049,0.34159396171237383
8754,0.8325101858849098,0.089435,8.023936378951992,Robert Wise,113,Somebody Up There Likes Me,Ernest Lehman,1956,7.5,6530,7.5,8.2,5.7568928771733034,Paul Newman, Pier Angeli, Everett Sloane, Eileen Heckart,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,,,0.16423952464991454,0.07855571551732632,0.8643124500339535
8755,0.15641338364823598,0.089388,8.013541178842129,Ken Loach,90,Raining Stones,Jim Allen,1993,7.5,3622,7.5,10.0,5.7568928771733034,Bruce Jones, Julie Brown, Gemma Phoenix, Ricky Tomlinson,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UK,1,,,0.7095926287688193,0.07560935456482169,0.2709475185966459
8756,0.105364877564375,0.089375,5.089870806435089,Michel Hazanavicius,101,OSS 117: Lost in Rio,Jean Bruce,2009,6.9,11262,6.9,7.8,5.8,Jean Dujardin, Louise Monot, Rüdiger Vogler, Alex Lutz,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,1,,,0.14172735270960574,0.02218548308595664,0.3485905523188855
8757,0.09285951256686502,0.08429299999999999,10.277277466403284,Neil Jordan,118,Byzantium,Moira Buffini,2012,6.5,37056,6.5,6.5,6.6,Saoirse Ronan, Barry Cassin, Gemma Arterton, David Heap,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"UK, USA, Ireland",3,,,0.6496142477753137,0.02153984623142489,0.8582064798116297
8758,0.16461804594222,0.088686,8.445773042579763,Peter Medak,115,Let Him Have It,Neal Purvis,1991,7.3,2978,7.3,8.4,5.7568928771733034,Tom Courtenay, Eileen Atkins, Rebecca Eccleston, Peter Eccleston,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"France, UK",2,,,0.2385389880318677,0.14519182291143518,0.5937121042849108
8759,0.12170924261496,0.08856,2.976609659069064,Paul Morrison,106,Wondrous Oblivion,Paul Morrison,2003,7.1,1085,7.1,6.6,6.1,Sam Smith, Leagh Conwell, Dominic Barklem, Jo Stone-Fewings,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"France, UK, Germany",3,,,0.07513410372177669,0.02193981660630137,0.13368913748082878
8760,0.134196189128424,0.08842799999999999,10.867930381834492,John Asher,91,Diamonds,Allan Aaron Katz,1999,5.4,1373,5.4,2.6,3.3,Kirk Douglas, Dan Aykroyd, Corbin Allred, Lauren Bacall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Germany, USA",2,11900000.0,18.0591515202,0.04441238326305729,0.015965215044057374,1.7501972378004185
8761,0.074734947664476,0.064438,15.443955895530785,Tim Allen,96,Crazy on the Outside,Judd Pillot,2010,5.5,5156,5.5,0.8,2.1,Tim Allen, Sigourney Weaver, Ray Liotta, J.K. Simmons,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.023107790353997227,0.013823147814285515,2.921653243591345
8762,0.094298460780378,0.088273,11.539491065439794,Jeff Baena,89,Life After Beth,Jeff Baena,2014,5.6,17208,5.6,4.3,5.0,Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,USA,1,,,0.0757330006256127,0.018452403507859202,1.6295486587689518
8763,0.110582460918664,0.088148,3.8930683511343336,Quan'an Wang,86,Tuya's Marriage,Wei Lu,2006,7.2,1987,7.2,9.2,7.1,Nan Yu, Ba'toer, Sen'ge, Bao'lier,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,China,1,,,0.04305016802947737,0.050559332039466436,0.2212816307130296
8764,0.08923918432828197,0.083537,2.8844440470036115,Marah Strauch,100,Sunshine Superman,Marah Strauch,2014,6.9,1152,6.9,9.1,7.0,Pat Sajak, Phil Donahue, Cecilie Bull, John Long,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Norway, USA",2,,,0.04222740078720686,0.023368359765306376,0.14400586527149545
8765,0.01489158213648,0.01372,5.77739886676496,Jim Bruce,104,Money for Nothing: Inside the Federal Reserve,Jim Bruce,2013,7.5,698,7.5,6.2,5.7,Liev Schreiber, Paul Volcker, Janet Yellen, Peter Atwater,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"USA, Canada",2,,,0.039066800050584126,0.02193981660630137,0.7088671271127306
8766,0.006943686009,0.0065,3.1644994027613107,Lina Plioplyte,72,Advanced Style,Ari Cohen,2014,7.3,880,7.3,8.9,6.6,Joyce Carpati, Ari Cohen, Lynn Dell, Zelda Kaplan,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.04243382783685396,0.023459953148267508,0.17293870542506135
8767,0.09161253573102003,0.084405,2.5649008445159844,R. Kannan,136,Settai,John Mahendran,2013,4.4,376,4.4,5.940134117214773,5.7568928771733034,Arya, Hansika Motwani, Anjali, Santhanam,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,India,1,,,0.03180385252442845,0.0184506040673035,0.15038953043895173
8768,0.095278990866372,0.087783,6.863192912924898,Hark Tsui,134,Young Detective Dee: Rise of the Sea Dragon,Chia-Lu Chang,2013,6.5,3638,6.5,5.940134117214773,5.7568928771733034,Carina Lau, Chien Sheng, Mark Chao, Angelababy,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,1,,,0.28039742876172924,0.0656125409872427,0.3948919711920292
8769,0.097299942570588,0.08389400000000001,5.610301150995145,Philip Rosenthal,86,Exporting Raymond,Philip Rosenthal,2010,6.9,1528,6.9,7.2,5.5,Philip Rosenthal, Peter Boyle, Stanislav Duzhnikov, Eldar,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Russia",2,,,0.03863548684850985,0.02174091755633759,0.6653496286198366
8770,0.092360292940506,0.087639,5.944877947834676,Ivan Sen,110,Goldstone,Ivan Sen,2016,6.4,2802,6.4,8.0,7.8,Aaron Pedersen, Alex Russell, Jacki Weaver, David Wenham,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Australia,1,,,0.040873100633641024,0.02276234213636043,0.5537712196125939
8771,0.145084315448743,0.08743300000000001,2.7818297370832448,Todd Verow,88,Frisk,Dennis Cooper,1995,4.9,584,4.9,5.940134117214773,5.7568928771733034,Michael Gunther, Craig Chester, Michael Stock, Raoul O'Connell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,,,0.03299615919490482,0.061314513601318274,0.1136559327876872
8772,0.1283575366674,0.0874,4.158353681912182,Peter Sheridan,91,Borstal Boy,Brendan Behan,2000,6.8,2170,6.8,4.5,4.7,Shawn Hatosy, Eamon Glancy, Ian McElhinney, Patricia Leventon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"UK, Ireland",2,,,0.034513628622969826,0.019788563997086298,0.3772239156105072
8773,0.07677595190160001,0.0612,2.3993251905519344,Aaron Russo,95,America: Freedom to Fascism,Aaron Russo,2006,8.0,2366,8.0,2.7,4.3,Aaron Russo, John Turner, Joe Banister, Sherry Peel Jackson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.03474320542925037,0.01989986232215921,0.11945267168488903
8774,0.12009442373428501,0.087385,5.162053111887062,Pablo Berger,91,Torremolinos 73,Pablo Berger,2003,6.6,3203,6.6,7.0,6.2,Javier Cámara, Candela Peña, Juan Diego, Fernando Tejero,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spain, Denmark",2,,,0.08453554631630954,0.04676410708628733,0.34428531019300784
