,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
52,218148093.95224223,126,Good Will Hunting,1997,740127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.6572611456602764,0.024871729453271586,3.0246915364763445
53,145560897.67760462,117,Split,2016,292447,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.43898050813670747,0.2202225006099627,1.14426484493445
54,157989703.89023468,112,The Incredible Hulk,2008,383204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.212452032622791,0.1363917769542133,2.9718157553915976
55,157726490.26911685,110,Wanted,2008,334067,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Germany",2,0.11982268946337452,0.041791118401578245,3.6136130886780253
56,520250645.6609358,143,Superman,1978,149116,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, UK, Switzerland, Canada, Panama",5,0.7066223780731747,0.10636887873966609,3.300758196151028
57,177422459.87249997,163,Troy,2004,438155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Malta, UK",3,0.32775657717535367,0.04744183370258603,0.7419384238939597
58,157237814.64430696,138,Angels & Demons,2009,246783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Italy",2,1.086522133697891,0.17374225943288996,3.753651349754529
59,152972252.8150682,110,Get Smart,2008,187290,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.28121774314839265,0.039473218097127546,2.946471015093784
60,180776846.6601227,115,The Ring,2002,292405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"USA, Japan",2,0.4028208477308222,0.20631945442702165,1.6880780522177496
61,188099410.85880128,120,"Crouching Tiger, Hidden Dragon",2000,238435,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Taiwan, Hong Kong, USA, China",4,0.6046332893610293,0.02550205096659737,1.2252319248339663
